補充搜尋關鍵詞,學校代碼,學校名稱,學校簡稱,學系代碼,學系名稱,學系簡稱,學群類別,招生名額可填志願數,學群類別代碼,學校學群類別,術科考試,國文檢定,英文檢定,數學A檢定,數學B檢定,社會檢定,自然檢定,大考英聽檢定,術科項目1檢定,術科項目2檢定,術科項目3檢定,術科項目4檢定,術科項目5檢定
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,101,中國文學系,中文系,第一類學群,12,1,1-1,--,頂標,前標,均標,均標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,102,外國語文學系,外文系,第一類學群,12,1,1-1,--,前標,頂標,均標,均標,前標,--,A級,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,103,歷史學系,歷史系,第一類學群,12,1,1-1,--,前標,前標,均標,均標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,104,哲學系,哲學系,第一類學群,12,1,1-1,--,前標,前標,前標,前標,均標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,105,人類學系,人類系,第一類學群,12,1,1-1,--,前標,前標,--,均標,前標,--,B級,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,106,圖書資訊學系,圖資系,第一類學群,12,1,1-1,--,前標,前標,均標,均標,均標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,107,日本語文學系,日文系,第一類學群,12,1,1-1,--,前標,前標,均標,均標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,108,戲劇學系,戲劇系,第一類學群,12,1,1-1,--,前標,前標,--,均標,均標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,109,地理環境資源學系,地理系,第一類學群,12,1,1-1,--,--,前標,頂標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,110,政治學系政治理論組,政治系政論,第一類學群,12,1,1-1,--,前標,前標,均標,前標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,111,政治學系國際關係組,政治系國關,第一類學群,12,1,1-1,--,前標,前標,均標,前標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,112,政治學系公共行政組,政治系公行,第一類學群,12,1,1-1,--,前標,前標,均標,前標,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,113,經濟學系A組,經濟系A組,第一類學群,12,1,1-1,--,--,前標,頂標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,114,社會學系,社會系,第一類學群,12,1,1-1,--,前標,前標,均標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,115,社會工作學系,社工系,第一類學群,12,1,1-1,--,前標,前標,--,均標,均標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,116,生物產業傳播暨發展學系,生傳系,第一類學群,12,1,1-1,--,前標,前標,均標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,117,工商管理學系企業管理組,工管系企管,第一類學群,12,1,1-1,--,頂標,頂標,前標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,118,會計學系,會計系,第一類學群,12,1,1-1,--,頂標,頂標,頂標,--,前標,--,--,,,,,
